"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",1,2647023,2647023,23.962243364295084
"hsa_signal_wait_scacquire",7,2481710,354530,22.4657432064643
"hsa_amd_memory_pool_allocate",6,1296881,216146,11.740048400233157
"hsa_signal_store_screlease",2,1163019,581509,10.528259223776711
"hsa_amd_memory_async_copy",3,702090,234030,6.355687670125245
"hsa_executable_freeze",2,671514,335757,6.078897648615539
"hsa_queue_destroy",1,612603,612603,5.545604315375145
"hsa_system_get_info",5004,381206,76,3.4508770584651027
"hsa_executable_load_agent_code_object",2,258066,129033,2.33614906105847
"hsa_agent_get_info",65,231335,3559,2.0941660003253477
"hsa_amd_memory_lock_to_pool",2,175751,87875,1.590990419621675
"hsa_amd_memory_pool_free",5,142059,28411,1.285992728468319
"hsa_amd_memory_unlock",2,41058,20529,0.3716785944252194
"hsa_amd_agents_allow_access",3,35607,11869,0.32233327759995095
"hsa_signal_create",37,33790,913,0.3058848386581948
"hsa_code_object_reader_create_from_memory",2,29936,14968,0.270996405151575
"hsa_system_get_major_extension_table",3,29625,9875,0.2681810697025458
"hsa_isa_get_info_alt",2,27962,13981,0.2531267196969649
"hsa_iterate_agents",2,27933,13966,0.2528641964557371
"hsa_executable_create_alt",2,11422,5711,0.10339794694151824
"hsa_signal_load_relaxed",66,10529,159,0.09531404161681366
"hsa_signal_destroy",36,10225,284,0.09256207384670145
"hsa_amd_agent_iterate_memory_pools",6,9940,1656,0.08998210406222126
"hsa_executable_get_symbol_by_name",13,4517,347,0.04089025795262107
"hsa_amd_memory_pool_get_info",20,3034,151,0.027465362547764518
"hsa_executable_symbol_get_info",26,1726,66,0.015624659115834397
"hsa_amd_agent_memory_pool_get_info",5,1123,224,0.010165986203407895
"hsa_amd_profiling_async_copy_enable",1,1092,1092,0.009885357911060927
"hsa_queue_add_write_index_screlease",2,841,420,0.007613173995606447
"hsa_amd_profiling_get_dispatch_time",1,741,741,0.006707921439648486
"hsa_signal_silent_store_relaxed",5,651,130,0.005893194139286322
"hsa_amd_profiling_get_async_copy_time",3,480,160,0.00434521226859821
"hsa_agent_iterate_isas",1,431,431,0.0039016385161788096
"hsa_queue_load_read_index_relaxed",2,320,160,0.0028968081790654732
"hsa_queue_load_read_index_scacquire",2,301,150,0.002724810193433461
"hsa_amd_profiling_set_profiler_enabled",1,100,100,0.0009052525559579604
"hsa_dispatch",1,0,0,0.0
